id,different?,expected result,actual result,result_message different?,expected result_message (normalized),actual result_message (normalized),messages different?,expected messages (normalized),actual messages (normalized)
g10_certification-g10_smart_ehr_practitioner_app-smart_ehr_launch_stu2-smart_token_exchange,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_ehr_launch_stu2-smart_token_response_body,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_ehr_launch_stu2-g10_smart_scopes,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_openid_connect_stu2-smart_openid_token_header,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_openid_connect_stu2-smart_openid_token_payload,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_openid_connect_stu2-smart_openid_fhir_user_claim,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-smart_openid_connect_stu2,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-g10_smart_ehr_token_refresh-g10_token_refresh_without_scopes,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-g10_smart_ehr_token_refresh-g10_token_refresh_body_without_scopes,true,pass,,false,,,false,"",""
g10_certification-g10_smart_ehr_practitioner_app-g10_smart_ehr_token_refresh-g10_token_refresh_body_with_scopes,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-g10_patient_id_setup,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-us_core_v610_capability_statement-us_core_fhir_version,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-us_core_v610_capability_statement,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-us_core_v610_capability_statement-us_core_conformance_support,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-us_core_v610_patient-us_core_v610_patient_identifier_search_test,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-us_core_v610_patient-us_core_v610_patient_name_search_test,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-us_core_v610_patient-us_core_v610_patient_read_test,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-us_core_v610_patient,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-us_core_v610_care_plan,true,pass,,false,,,false,"",""
g10_certification-g10_single_patient_us_core_6_api-us_core_v610_care_team,true,pass,,false,,,false,"",""
g10_certification-g10_smart_standalone_patient_app-smart_standalone_launch_stu2-smart_code_received,true,pass,,false,,,false,"",""
g10_certification-g10_smart_standalone_patient_app-smart_standalone_launch_stu2-standalone_token_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.1 connection as required.""",""
g10_certification-g10_smart_standalone_patient_app-smart_standalone_launch_stu2-smart_token_exchange,true,pass,,false,,,false,"",""
g10_certification-g10_smart_standalone_patient_app-smart_standalone_launch_stu2-smart_token_response_body,true,pass,,false,,,false,"",""
