id,different?,expected result,actual result,result_message different?,expected result_message (normalized),actual result_message (normalized),messages different?,expected messages (normalized),actual messages (normalized)
davinci_pas_server_suite_v201-pas_server_v201_subscription_setup-subscriptions_r4_server_subscription_conformance,true,pass,,false,,,false,"! (warning) ""\nAdded the Authorization header field with a Bearer token set to demo_execution to the `header` field on the\nSubscription resource in order to connect successfully with the Inferno subscription channel.\n\n""
! (warning) ""Subscription: Subscription: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""",""
davinci_pas_server_suite_v201-pas_server_v201_subscription_setup-pas_server_v201_subscription_input_conformance,true,pass,,false,,,false,"",""
davinci_pas_server_suite_v201-pas_server_v201_subscription_setup-subscriptions_r4_server_notification_delivery,true,pass,,false,,,false,"",""
davinci_pas_server_suite_v201-pas_server_v201_subscription_setup-subscriptions_r4_server_creation_response_conformance,true,pass,,false,,,false,"",""
davinci_pas_server_suite_v201-pas_server_v201_subscription_setup-subscriptions_r4_server_handshake_conformance,true,pass,,false,,,false,"! (warning) ""Parameters: Parameters.parameter[3].value.ofType(code): ValueSet 'http://hl7.org/fhir/ValueSet/subscription-notification-type' not found""
! (info) ""Parameters: Parameters.parameter[1].value.ofType(canonical): A definition could not be found for Canonical URL 'http://hl7.org/fhir/us/davinci-pas/SubscriptionTopic/PASSubscriptionTopic'""",""
davinci_pas_server_suite_v201-pas_server_v201_subscription_setup,true,pass,,false,,,false,"",""
davinci_pas_server_suite_v201-Group02-pas_server_v201_approval_use_case-Group01-pas_server_v201_pas_request_bundle_validation_test_approval,true,skip,,false,Bundle(s) provided are not conformant. Check messages for issues found.,,false,"! (error) ""Bundle/ReferralAuthorizationBundleExample is not conformant to any of the target profiles: [""http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-pas-request-bundle""].""
! (error) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[0].resource/*Claim/ReferralAuthorizationExample*/.item[0].extension[5].value.ofType(Reference): Unable to find a profile match for ServiceRequest/ReferralRequestExample among choices: http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-devicerequest, http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-medicationrequest, http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-nutritionorder, http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-servicerequest""
! (error) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[5].resource/*ServiceRequest/ReferralRequestExample*/.extension[0].extension[0].value.ofType(Reference): Unable to find a profile match for Coverage/InsuranceExample among choices: http://hl7.org/fhir/us/davinci-crd/StructureDefinition/profile-coverage""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[10].resource/*Encounter/SurgicalEncounterExample*/.hospitalization.admitSource: Unable to check whether the code is in the value set '' because the code system https://www.nubc.org/CodeSystem/PointOfOrigin was not found""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[10].resource/*Encounter/SurgicalEncounterExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[1].resource/*Organization/UMOExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[2].resource/*Organization/InsurerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[3].resource/*Coverage/InsuranceExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[4].resource/*Patient/SubscriberExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[5].resource/*ServiceRequest/ReferralRequestExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[6].resource/*PractitionerRole/ReferralPractitionerRoleExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[7].resource/*Practitioner/ReferralPractitionerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[8].resource/*Location/ReferralLocationExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[9].resource/*DocumentReference/episode-summary*/.content[0].format: The code provided (urn:oid:1.3.6.1.4.1.19376.1.2.3#urn:hl7-org:sdwg:ccda-structuredBody:2.1) is not in the value set 'DocumentReference Format Code Set' (http://hl7.org/fhir/ValueSet/formatcodes|4.0.1), and a code should come from this value set unless it has no suitable code (the validator cannot judge what is suitable)""
! (warning) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[9].resource/*DocumentReference/episode-summary*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Claim/ReferralAuthorizationExample: Claim: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Coverage/InsuranceExample: Coverage: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Location/ReferralLocationExample: Location: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Organization/InsurerExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Organization/UMOExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Patient/SubscriberExample: Patient: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Practitioner/ReferralPractitionerExample: Practitioner: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""PractitionerRole/ReferralPractitionerRoleExample: PractitionerRole: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (info) ""Bundle/ReferralAuthorizationBundleExample: Bundle.entry[3].resource/*Coverage/InsuranceExample*/.relationship.coding[0]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-coverage|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Claim/ReferralAuthorizationExample: Claim.extension[1]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-claim-inquiry|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Claim/ReferralAuthorizationExample: Claim.item[0].extension[5]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-claim-inquiry|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Claim/ReferralAuthorizationExample: Claim.item[0].extension[6]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-claim-inquiry|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Claim/ReferralAuthorizationExample: Claim.item[0].extension[7]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-claim-inquiry|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Claim/ReferralAuthorizationExample: Claim.item[0].extension[8]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-claim-inquiry|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Claim/ReferralAuthorizationExample: Claim.item[0].extension[9]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-claim-inquiry|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Claim/ReferralAuthorizationExample: Claim.supportingInfo[0]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-claim-inquiry|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Claim/ReferralAuthorizationExample: Claim.supportingInfo[1]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-claim-inquiry|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""
! (info) ""Coverage/InsuranceExample: Coverage.relationship.coding[0]: This element does not match any known slice defined in the profile http://hl7.org/fhir/us/davinci-pas/StructureDefinition/profile-coverage|2.0.1 (this may not be a problem, but you should check that it's not intended to match a slice)""",""
davinci_pas_server_suite_v201-Group02-pas_server_v201_approval_use_case-Group01-pas_v201_claim_submit_operation_test_approval,true,pass,,false,,,false,"",""
davinci_pas_server_suite_v201-Group02-pas_server_v201_approval_use_case-Group01-pas_server_v201_pas_response_bundle_validation_test_approval,true,pass,,false,,,false,"! (warning) ""Bundle/<UUID>: Bundle.entry[1].resource/*Patient/SubscriberExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/<UUID>: Bundle.entry[2].resource/*Organization/InsurerExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Bundle/<UUID>: Bundle.entry[3].resource/*Organization/UMOExample*/: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""ClaimResponse/<UUID>: ClaimResponse: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Organization/InsurerExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Organization/UMOExample: Organization: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""
! (warning) ""Patient/SubscriberExample: Patient: Constraint failed: dom-6: 'A resource should have narrative for robust management' (defined in http://hl7.org/fhir/StructureDefinition/DomainResource) (Best Practice Recommendation)""",""
davinci_pas_server_suite_v201-Group02-pas_server_v201_approval_use_case-Group01-pas_server_v201_decision_validation_test_approval,true,pass,,false,,,false,"",""
davinci_pas_server_suite_v201-Group02-pas_server_v201_approval_use_case-Group01,true,skip,,false,,,false,"",""
davinci_pas_server_suite_v201-Group02-pas_server_v201_approval_use_case,true,skip,,false,,,false,"",""
