Req Set,ID,URL,Requirement,Conformance,Actors,Conditionality,Not Tested Reason,Not Tested Details,Requirements Suite Short ID(s),Requirements Suite Full ID(s)
sample-criteria-proposal,1,https://hl7.org/fhir/R4/,Feugiat in ante metus dictum. Dignissim cras tincidunt lobortis feugiat.,SHALL,Client,false,,,1.1,ig_requirements-Group01-Group01
sample-criteria-proposal,2,https://hl7.org/fhir/R4/,tempor incididunt ut labore et dolore magna aliqua,SHALL,Client,false,,,1.1,ig_requirements-Group01-Group01
sample-criteria-proposal,3,https://hl7.org/fhir/R4/,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",SHALL,Client,false,,,1.2,ig_requirements-Group01-Group02
sample-criteria-proposal,4,,Consequat mauris nunc congue nisi vitae suscipit tellus mauris.,SHALL,Client,false,,,1.2,ig_requirements-Group01-Group02
sample-criteria-proposal,5,,condimentum vitae sapien pellentesque habitant morbi tristique senectus,SHALL,Client,true,,,1.1.03,ig_requirements-Group01-Group01-Test03
sample-criteria-proposal,6,,Faucibus scelerisque eleifend donec pretium vulputate sapien nec sagittis,SHALL,Client,true,,,2,ig_requirements-Group02
sample-criteria-proposal,7,,Nulla facilisi nullam vehicula ipsum a,SHALL,Client,false,,,2,ig_requirements-Group02
sample-criteria-proposal-4,1,,text1,SHALL,Client,false,Not Tested,NOT TESTED DETAILS,NA,NA
sample-criteria-proposal-4,2,,text2,SHALL,Client,false,Not Verifiable,NOT VERIFIABLE DETAILS,NA,NA
sample-criteria-proposal-4,3,,text3,SHALL,Client,false,,,"",""
